Año,Número_mes,Mes,Clave_Mun,Municipio,Localidad,Colonia,Delito,Cantidad
2016,1,Enero,1,ACATIC,N.D.,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,1,ACATIC,N.D.,N.D.,ROBO DE MOTOCICLETA,1
2016,1,Enero,2,ACATLAN DE JUAREZ,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,2,ACATLAN DE JUAREZ,N.D.,N.D.,ROBO A CARGA PESADA,1
2016,1,Enero,2,ACATLAN DE JUAREZ,N.D.,N.D.,VIOLENCIA FAMILIAR,2
2016,1,Enero,2,ACATLAN DE JUAREZ,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO CASA HABITACION,2
2016,1,Enero,2,ACATLAN DE JUAREZ,CABECERA MUNICIPAL,CENTRO CAB. MUN.,LESIONES DOLOSAS,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,PROVIDENCIA,ROBO CASA HABITACION,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A NEGOCIO,1
2016,1,Enero,3,AHUALULCO DE MERCADO,N.D.,AMERICO,ROBO A PERSONA,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO DE MOTOCICLETA,1
2016,1,Enero,3,AHUALULCO DE MERCADO,SANTA CRUZ DE BARCENA,N.D.,ROBO CASA HABITACION,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,CENTRO CAB. MUN.,LESIONES DOLOSAS,3
2016,1,Enero,3,AHUALULCO DE MERCADO,SAN IGNACIO OJO DE AGUA,N.D.,VIOLENCIA FAMILIAR,1
2016,1,Enero,3,AHUALULCO DE MERCADO,LA MORA (LA MORITA),N.D.,LESIONES DOLOSAS,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,LOS AGUACATES,ROBO CASA HABITACION,1
2016,1,Enero,3,AHUALULCO DE MERCADO,SAN IGNACIO EMILIO PORTES GIL,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,3,AHUALULCO DE MERCADO,N.D.,N.D.,ROBO DE MOTOCICLETA,1
2016,1,Enero,3,AHUALULCO DE MERCADO,CABECERA MUNICIPAL,5 DE MAYO,VIOLENCIA FAMILIAR,1
2016,1,Enero,4,AMACUECA,CABECERA MUNICIPAL,SAN JUAN,VIOLENCIA FAMILIAR,1
2016,1,Enero,5,AMATITAN,CABECERA MUNICIPAL,AMATITAN,HOMICIDIO DOLOSO,1
2016,1,Enero,5,AMATITAN,N.D.,N.D.,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,FERROCARRIL,ROBO DE MOTOCICLETA,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,LOMAS DE SAN JAVIER,ROBO CASA HABITACION,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,EL CARMEN,VIOLENCIA FAMILIAR,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A PERSONA,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO DE MOTOCICLETA,2
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,EL NOGAL,LESIONES DOLOSAS,1
2016,1,Enero,6,AMECA,LA VILLITA,N.D.,ROBO A PERSONA,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,OBRERA,VIOLENCIA FAMILIAR,1
2016,1,Enero,6,AMECA,LA VILLITA,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,6,AMECA,BUENOS AIRES,N.D.,VIOLENCIA FAMILIAR,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,PROVIDENCIA,ROBO CASA HABITACION,1
2016,1,Enero,6,AMECA,N.D.,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,N.D.,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,EL CARMEN,ROBO A INT DE VEHICULOS,1
2016,1,Enero,6,AMECA,CAIMANERO (EL QUELITE),N.D.,VIOLENCIA FAMILIAR,1
2016,1,Enero,6,AMECA,LOS PILARES,N.D.,ROBO CASA HABITACION,1
2016,1,Enero,6,AMECA,LA CORONILLA,N.D.,ROBO DE MOTOCICLETA,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,CENTRO CAB. MUN.,VIOLENCIA FAMILIAR,2
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,CENTRO CAB. MUN.,LESIONES DOLOSAS,1
2016,1,Enero,6,AMECA,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A INT DE VEHICULOS,1
2016,1,Enero,6,AMECA,LOS POCITOS,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,7,SAN JUANITO DE ESCOBEDO,CABECERA MUNICIPAL,LAZARO CARDENAS,LESIONES DOLOSAS,1
2016,1,Enero,7,SAN JUANITO DE ESCOBEDO,EL TRAPICHE (TRAPICHI),N.D.,LESIONES DOLOSAS,1
2016,1,Enero,8,ARANDAS,N.D.,N.D.,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,8,ARANDAS,SANTA BARBARA,N.D.,ROBO A VEHICULOS PARTICULARES,3
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO CASA HABITACION,4
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,JARDS. DE LA GLORIETA,VIOLENCIA FAMILIAR,1
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,CENTRO CAB. MUN.,VIOLENCIA FAMILIAR,2
2016,1,Enero,8,ARANDAS,N.D.,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A PERSONA,1
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,LAGUNILLAS II,VIOLENCIA FAMILIAR,1
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A VEHICULOS PARTICULARES,2
2016,1,Enero,8,ARANDAS,N.D.,N.D.,VIOLENCIA FAMILIAR,1
2016,1,Enero,8,ARANDAS,LA TINAJA,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,8,ARANDAS,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A INT DE VEHICULOS,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,LA ALTAMIRA,VIOLENCIA FAMILIAR,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,NUEVO,VIOLENCIA FAMILIAR,1
2016,1,Enero,9,EL ARENAL,EL PORTEZUELO,N.D.,ROBO CASA HABITACION,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,12 DE OCTUBRE,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,BAJIO,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO CASA HABITACION,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,12 DE OCTUBRE,LESIONES DOLOSAS,1
2016,1,Enero,9,EL ARENAL,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A VEHICULOS PARTICULARES,1
2016,1,Enero,12,ATENGUILLO,N.D.,N.D.,ROBO CASA HABITACION,1
2016,1,Enero,13,ATOTONILCO EL ALTO,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A PERSONA,1
2016,1,Enero,13,ATOTONILCO EL ALTO,OJO DE AGUA DE MORAN,N.D.,LESIONES DOLOSAS,1
2016,1,Enero,13,ATOTONILCO EL ALTO,CABECERA MUNICIPAL,CENTRO CAB. MUN.,ROBO A NEGOCIO,2
